id,description,link,shipping_settings,condition,title,availability,brand,sale_price,price,custom_label_0,image_link,custom_label_1,custom_label_2
10077,[하리보] 골드베렌 키친 스폰지,https://www.wadiz.kr/web/store/detail/10077?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10077,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,하리보 골드베렌 키친 스폰지,in stock,와디즈,3000 KRW,3000.0 KRW,10077,https://cdn2.wadiz.kr/2024/11/26/fa5748df-540a-4898-8f29-f78b07397673.jpg/wadiz/resizecrop/500x500/format/jpg,superstoreday,
10078,[하리보] 하리보 귀여운 굿즈 스티커,https://www.wadiz.kr/web/store/detail/10078?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10078,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,하리보 귀여운 굿즈 스티커,in stock,와디즈,2500 KRW,2500.0 KRW,10078,https://cdn2.wadiz.kr/2024/11/26/6e7c8047-7723-48e6-9ef5-3ead730a0c4a.jpg/wadiz/resizecrop/500x500/format/jpg,superstoreday,
10079,[하리보] 하리보 참,https://www.wadiz.kr/web/store/detail/10079?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10079,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,하리보 참 크록스 지비츠 신발꾸미기,in stock,와디즈,9900 KRW,9900.0 KRW,10079,https://cdn2.wadiz.kr/2024/11/26/95224b31-b028-4e95-9d43-22341108a28b.png/wadiz/resizecrop/500x500/format/jpg,superstoreday,
10246,[텀블러]티타늄 텀블러 냄새착색 ZERO 편리한 손잡이와 팝업빨대 텀블러,https://www.wadiz.kr/web/store/detail/10246?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10246,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,워키 티타늄 텀블러 냄새 착색 방지 편리한 손잡이 팝업 빨대,in stock,와디즈,78000 KRW,83000.0 KRW,10246,https://d1ruwxjthziwe4.cloudfront.net/marketing/10246.jpg,superstoreday,ABC
10277,[사계절이불] 누적8억 잊을 수 없는 부드러운 촉감 이불l 오늘 밤은 코코낸내 하세요,https://www.wadiz.kr/web/store/detail/10277?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10277,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,코코낸내 포터블 이불 100*140cm,in stock,와디즈,98500 KRW,115000.0 KRW,10277,https://d1ruwxjthziwe4.cloudfront.net/marketing/10277.jpg,,
10302,[크림] 1억앵콜 다이버가 쓰려고 만든 촉촉 쫀쫀 100시간 보습크림,https://www.wadiz.kr/web/store/detail/10302?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10302,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,써니콘 머쉬룸 콜라겐 딥 하이드레이팅 크림 50ml,in stock,와디즈,22000 KRW,27000.0 KRW,10302,https://d1ruwxjthziwe4.cloudfront.net/marketing/10302.jpg,,
10304,[디자인책] 세련된 아름다움으로 되살리다 <한국의 전통 문양>,https://www.wadiz.kr/web/store/detail/10304?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10304,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,한국의 전통문양 디자인책 세련된 아름다움으로 되살리다 베이직 패키지,in stock,와디즈,44800 KRW,49800.0 KRW,10304,https://cdn2.wadiz.kr/2024/12/11/32a6a6b5-ed16-4698-9235-25e336e3c9ed.jpeg/wadiz/resizecrop/500x500/format/jpg,superstoreday,ABC
10311,"[립밤]촉촉탱글 립밤종결 '버터립밤' 식물유래성분만 84%,수채화발색까지",https://www.wadiz.kr/web/store/detail/10311?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10311,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,온리 포유 버터 립밤 3.6g 클리어,in stock,와디즈,8900 KRW,8900.0 KRW,10311,https://d1ruwxjthziwe4.cloudfront.net/marketing/10311.jpg,,ABC
10315,"[미니가습기] 1리터 대용량+듀얼 제트팬! 폭발적 가습량, 듀얼젯",https://www.wadiz.kr/web/store/detail/10315?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10315,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,블루필 듀얼 제트팬 미니가습기 1L 대용량 사무실 가정용 차량용 휴대용 소형,in stock,와디즈,39800 KRW,44800.0 KRW,10315,https://d1ruwxjthziwe4.cloudfront.net/marketing/10315.jpg,,ABC
10331,"[토퍼]수천만원대 매트리스 도전합니다, 숙면공식 3중레이어 우유샌드 토퍼",https://www.wadiz.kr/web/store/detail/10331?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10331,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,수면공감 3중 레이어 우유샌드 토퍼 슈퍼싱글,in stock,와디즈,109000 KRW,109000.0 KRW,10331,https://d1ruwxjthziwe4.cloudfront.net/marketing/10331.jpg,superstoreday,ABC
10333,[콩물두유] 첨가물 없이 서리태로만 만든 '고칼슘' 서리태콩물두유,https://www.wadiz.kr/web/store/detail/10333?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10333,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,후유아 고칼슘 서리태 콩물 두유 첨가물 없이 콩으로만 10팩 ,in stock,와디즈,28900 KRW,39000.0 KRW,10333,https://cdn2.wadiz.kr/2025/01/31/d6050357-ec12-4648-b718-338123f73e1e.jpg/wadiz/resizecrop/500x500/format/jpg,,
